   -9.418781e-07 +8.445295e-09 -8.326486e-07
   -9.418562e-07 +8.452989e-09 -8.328473e-07
   -9.418342e-07 +8.460684e-09 -8.330459e-07
   -9.430707e-07 +9.180379e-09 -8.327250e-07
   -9.430488e-07 +9.188074e-09 -8.329237e-07
   -9.430876e-07 +9.174447e-09 -8.325719e-07
   -9.430657e-07 +9.182141e-09 -8.327705e-07
   -9.430435e-07 +1.057428e-08 -8.325489e-07
   -9.430216e-07 +1.058197e-08 -8.327475e-07
   -9.429997e-07 +1.058966e-08 -8.329462e-07
   -9.429778e-07 +1.059735e-08 -8.331448e-07
   -9.429559e-07 +1.060504e-08 -8.333435e-07
   -9.429339e-07 +1.061273e-08 -8.335421e-07
   -9.429120e-07 +1.062042e-08 -8.337408e-07
   -9.428901e-07 +1.062811e-08 -8.339394e-07
   -9.428682e-07 +1.063580e-08 -8.341381e-07
   -9.428463e-07 +1.064349e-08 -8.343367e-07
   -9.428244e-07 +1.065117e-08 -8.345354e-07
   -9.428025e-07 +1.065886e-08 -8.347340e-07
   -9.427806e-07 +1.066655e-08 -8.349326e-07
   -9.427587e-07 +1.067424e-08 -8.351313e-07
   -9.427367e-07 +1.068193e-08 -8.353299e-07
   -9.427148e-07 +1.068962e-08 -8.355286e-07
   -9.426929e-07 +1.069731e-08 -8.357272e-07
   -9.426710e-07 +1.070500e-08 -8.359259e-07
   -9.426491e-07 +1.071269e-08 -8.361245e-07
   -9.426272e-07 +1.072038e-08 -8.363232e-07
   -9.426053e-07 +1.072807e-08 -8.365218e-07
   -9.425834e-07 +1.073576e-08 -8.367205e-07
   -9.425615e-07 +1.074345e-08 -8.369191e-07
   -9.425395e-07 +1.075114e-08 -8.371178e-07
   -9.425176e-07 +1.075883e-08 -8.373164e-07
   -9.424957e-07 +1.076652e-08 -8.375151e-07
   -9.424738e-07 +1.077421e-08 -8.377137e-07
   -9.424519e-07 +1.078190e-08 -8.379124e-07
   -9.424300e-07 +1.078959e-08 -8.381110e-07
   -9.424081e-07 +1.079728e-08 -8.383097e-07
