position,distribution,population,density
3.839381e-09,1.251724e-01,345782,1.125806e+25
1.151808e-08,2.668439e-01,737142,2.400006e+25
1.919677e-08,2.674597e-01,738843,2.405544e+25
2.687547e-08,2.026729e-01,559873,1.822849e+25
3.455417e-08,9.969679e-02,275407,8.966907e+24
4.223286e-08,3.066521e-02,84711,2.758346e+24
4.991156e-08,6.693344e-03,18490,6.071858e+23
5.759026e-08,7.033622e-04,1943,8.327122e+22
6.526895e-08,7.384760e-05,204,6.033974e+23
7.294765e-08,1.846190e-05,51,2.558593e+25
